Product Name,Asin,SKU,Brand,Review Rate,Cost,Shipping Cost,Main Category Id,Sub Category Id,Min Price,Price,Max Price,Desi,Stock,Amazon Commission,Out Of Criteria Reason
"FRENCHI FURNITURE HOME FURNISHING CONTEMPORARY MAGAZINE RACK, WHITE",B0117K1N48,YUZDENE_B0117K1N48,FRENCHI FURNITURE,4.70,0.00,,,,176.14,201.31,201.31,6,0,8.22,
"TODDLER BACKPACK BOYS GIRLS CUTE KIDS SCHOOL BACKPACK PRESCHOOL KINDERGARTEN BOOKBAGS NURSERY DAYCARE TODDLER BAGS, EXCAVATOR TRUCK-NAVY, MEDIUM, CLASSIC",B0B582QCBK,TESTCASEACTIVE_B0B582QCBK,BTOOP,4.80,19.99,0.00,,,192.80,192.80,220.34,2,20,7.87,
VVIVID® SATIN FLAT MATTE STEALTH JET BLACK VINYL WRAP ROLL WITH AIR RELEASE TECHNOLOGY (100FT X 5FT),B01LTA60MG,YUZDENE_B01LTA60MG,VVIVID,4.20,549.98,0.00,,,3056.36,3492.98,3492.98,34,0,142.64,
DORMAN 97503 LIFTGATE LATCH HANDLE COMPATIBLE WITH SELECT HUMMER MODELS,B01D8VLZK6,YUZDENE_B01D8VLZK6,DORMAN,4.40,74.12,0.00,,,447.48,447.48,511.41,3,0,18.27,
"ROUGH COUNTRY FRONT STAINLESS BRAKE LINES (FITS) 71-78 CHEVY GMC TRUCKS | SUBURBAN | BLAZER | JIMMY | 4-6"" LIFT | 89340S",B0776LWY9W,YUZDENE_B0776LWY9W,ROUGH COUNTRY,4.50,59.95,0.00,,,374.11,374.11,427.55,2,20,15.28,
"UPPER BOUNCE 11FT TRAMPOLINE COVER - WATERPROOF AND UV COVER FOR WEATHER, WIND, RAIN PROTECTION OF ROUND TRAMPOLINES OF ALL BRANDS AND MODELS - BLUE",B0052OHJO4,YUZDENE_B0052OHJO4,UPPER BOUNCE,4.00,29.30,0.00,,,275.88,315.29,315.29,4,20,12.88,
"AUTHENTIC KNITTING BOARD HIS & HER SOCK LOOMS, FINE GAUGE",B074BDGDSG,TESTCASEACTIVE_B074BDGDSG,AUTHENTIC KNITTING BOARD,4.50,18.99,0.00,,,188.26,188.26,215.15,2,20,7.69,
"LIXADA CAMPING STOVE,PORTABLE FOLDING WOOD STOVE LIGHTWEIGHT STAINLESS STEEL ALCOHOL STOVE FOR OUTDOOR COOKING BACKPACKING STOVE STAINLESS STEEL STOVE=9 * 8/11CM",B073W8PHYN,YUZDENE_B073W8PHYN,LIXADA,4.10,14.14,0.00,,,166.25,166.25,190.00,2,7,6.79,
CARPRO CQUARTZ FABRIC - VERSION 1 - DISCONTINUED,B013PYVAD8,YUZDENE_B013PYVAD8,CARPRO,4.50,0.00,,,,102.09,116.68,116.68,2,0,4.76,
CIIEEO JEWELRY TOOLS FRIENDSHIP BRACELETS STRING FRIENDSHIP BRACELETS STRING 12 PCS BRAIDING DISK DISK SQUARE DISC LOOM EVA FOAM THREAD DISK INSTRUCTIONS KNITTING TRAY BRAIDED BRACELETS,B0B8Q3M3BY,TESTCASEACTIVE_B0B8Q3M3BY,CIIEEO,4.40,0.00,,,,142.93,154.00,163.35,4,0,6.29,
"FORTIDY GLASS PICKLE JAR WITH STRAINER FOR PICKLE LOVER - 50 OZ AIRTIGHT OLIVE CONTAINER WITH SILICONE LIDS, KITCHEN ORGANIZATION MUST-HAVE VERSATILE HOURGLASS JAR, BPA-FREE, DISHWASHER SAFE (GREEN)",B0CNJJ2BCW,TESTCASEACTIVE_B0CNJJ2BCW,FORTIDY,4.40,18.99,0.00,,,197.33,197.33,225.52,3,20,8.06,
